,GEOID,pickups_intract,NYPDviolation,NYPDmisdemeanor,NYPDfelony,units,BBLE_x,CUR_FV_T_x,GR_SQFT_x,NEW_FV_T_x,CUR_FV_T_perSQFT_x,NEW_FV_T_perSQFT_x,BBLE_y,CUR_FV_T_y,GR_SQFT_y,NEW_FV_T_y,CUR_FV_T_perSQFT_y,NEW_FV_T_perSQFT_y,Median_house_Value,Median_Rent,Housing_Units,Total_pop,Pop_Den,Median_Household_Income,Ratio_income_to_poverty_level_under_2,Gini_Index,Ave_Commute_Min,Dropout_16_19,Bachelor_up_25_64,Unemployed_rate_16,Occupied_Housing_Units_2015_,Occupied_Housing_Units_2010_2014,Occupied_Housing_Units_2010_before,Black,White,Asian
1,36047000100,102138.807,19,37,26,106,3002169928,3475541.284,3082.633028,4153486.239,1190.616338,1459.290687,3002163777,4638008.547,48916.53846,5724470.085,1363.877877,1585.105886,694900,1434,2446,4304,49889.94,70938,928,0.5568,33,0,0.666306306,0.041450777,0.024514339,0.243293247,0.732192414,0.10989777,0.740473978,0.058085502
2,36047000200,21497.86679,20,125,84,,3007314901,464632.3529,2101.235294,593382.3529,243.7865093,313.9397967,3007247143,689015.7895,10987.54211,765297.7895,305.9639082,367.4818762,462500,1344,449,1868,16619.2,34740,1245,0.4267,38,0,0.042871386,0.079075426,0,0.25415677,0.74584323,0.101713062,0.24732334,0.004817987
3,36047000301,96582.50072,10,56,46,,,,,,,,,,,,,,682600,1955,2275,3985,48017.63,101544,1035,0.583,31,0,0.681918819,0.030143541,0.017213556,0.302313072,0.680473373,0.03663739,0.830363864,0.046675031
4,36047000501,39175.79425,8,25,17,62,,,,,,,,,,,,,721900,1853,2024,4759,147218.9,110700,551,0.5084,30,0,0.856592466,0.070351759,0.004449388,0.365406007,0.630144605,0.075436016,0.743223366,0.098339987
5,36047000502,45341.36746,19,63,38,,3002447545,4662071.429,3940.821429,5191607.143,1317.588974,1528.943303,3002444142,3929388.43,23729.72727,4238305.785,989.0288767,1184.871247,517200,1979,1675,2600,69557.17,91964,353,0.541,30,0.127659574,0.865585168,0.078695897,0.008843537,0.295918367,0.695238095,0.036923077,0.816923077,0.097692308
6,36047000700,81033.00154,11,74,33,,3002626997,4598529.851,3696.169154,5022629.353,1315.762582,1456.459427,3002647874,1493088.398,13440.64641,1706917.182,872.8361318,1132.005592,1185000,2138,2141,4029,59904.48,130966,417,0.5197,33,0,0.912490922,0.044046286,0.008660214,0.461029037,0.530310749,0.019359643,0.823529412,0.108463639
7,36047000900,75493.36314,60,193,122,,3002708057,3682409.836,3654,4363213.115,1036.215249,1240.295097,3002661623,7438191.176,52451.48529,8158198.529,885.0457767,1109.058597,826400,2460,2089,4162,66798.02,121083,588,0.484,30,0,0.893566051,0.050847458,0.028907923,0.487152034,0.483940043,0.057184046,0.709754926,0.13623258
8,36047001100,93340.56203,126,880,538,,,,,,,,3001483777,13022878.79,122935.3333,14206212.12,587.7420715,763.0568538,,2682,603,967,14862.73,107946,110,0.3258,29,0,0.826617827,0.040141677,0.081330869,0.885397412,0.033271719,0.097207859,0.616339193,0.168562565
9,36047001300,161313.1414,32,92,59,369,3001190115,2307000,6960,2687000,331.4655172,386.0632184,3001022726,33439840,201214.44,35625480,607.9474442,775.3398763,386700,2188,1068,2562,22726.74,111500,1051,0.4131,32,0,0.533898305,0.032882012,0.006849315,0.198630137,0.794520548,0.113583138,0.635831382,0.121389539
10,36047001500,169887.5566,164,658,411,1045,3001189545,1197904.762,2470.047619,1358619.048,527.5391922,610.8978077,3007420698,13943163.35,129026.6353,17848464.85,525.2692902,635.0491211,868600,2156,3246,5962,50553.97,90616,2262,0.4995,34,0.070652174,0.625521472,0.110171731,0.033117625,0.639893415,0.326988961,0.253438443,0.383596109,0.179469977
11,36047001800,159403.4472,30,197,108,,3006440175,296000,2700,296000,109.6296296,109.6296296,3007475610,7880800.41,163422.5694,8655933.722,374.0355105,437.6251022,,,0,2075,2251.472,,0,,,,0.08025013,,,,,0.320481928,0.379277108,0.042409639
12,36047002000,11929.60119,11,56,34,,3007967391,581137.6147,2219.715596,664743.1193,268.7628546,308.3511655,3007907164,532967.3203,6554.771242,570313.7255,352.2996025,402.7823853,568400,1425,481,1368,22990.74,61023,527,0.3888,46,0,0.171171171,0.040927694,0,0.208232446,0.791767554,0.066520468,0.330409357,0.093567251
13,36047002100,221130.2078,51,229,137,42,3000747720,987589.2857,2994.089286,1401714.286,343.0189383,466.9892913,3000379995,4457564.248,59054.84962,5148097.632,562.2109301,711.6822939,1178800,3213,1882,4295,22492.85,208036,393,0.3931,33,,0.801103279,0.05518917,0.04,0.551884058,0.408115942,0.042142026,0.797671711,0.088940629
14,36047002200,26638.81665,48,165,105,,3031792808,634101.0638,2445.87766,705148.9362,272.9200144,305.2079006,3022579504,2145960.674,16074.33146,2314449.438,345.2132971,405.8339727,,1139,1741,4902,37781.8,36563,2588,0.5328,39,0.088461538,0.231527094,0.10459588,0.010253317,0.21411339,0.775633293,0.028151775,0.402080783,0.160138719
15,36047002300,82078.31336,36,176,108,,,,,,,,3000896688,10769666.67,177360.7778,11954888.89,764.4938571,928.2634858,,429,1619,4342,61788.02,19066,3269,0.4825,50,0.10989011,0.056066176,0.265738499,0,0.187940988,0.812059012,0.579917089,0.075310917,0.140488254
16,36047002901,40700.37963,66,191,105,,,,,,,,3020364488,10838000,127205.3333,11958111.11,169.9385825,224.7302985,,445,1304,3532,88220.4,17544,2696,0.4379,42,0.073825503,0.086538462,0.23328877,0.016155089,0.19628433,0.787560582,0.493488109,0.075311438,0.225084938
17,36047003000,7637.89513,8,42,20,,3058492496,788797.6654,1964.750973,897062.2568,415.2687356,474.8336727,3058543788,1463687.5,23710.125,1670687.5,238.044565,244.8118447,536300,1352,732,1841,42588.52,68958,554,0.4713,40,0.173913043,0.573148148,0.058949625,0.025899281,0.270503597,0.703597122,0.053775122,0.688756111,0.063009234
18,36047003100,106615.6476,23,98,65,205,,,,,,,3020720052,31234384.62,230668.8462,38648230.77,202.4051562,245.9845042,375800,1661,1098,2837,25483.36,69609,154,0.3538,27,0,0.71319797,0.10761347,0.009813543,0.311089303,0.679097154,0.391610857,0.284455411,0.173070145
19,36047003300,60887.28887,42,196,112,586,3020977367,2207022.901,3116.152672,2529957.527,728.5425538,832.7378022,3018817193,3475493.056,22805.09028,3885618.056,242.1392949,287.1447003,815800,2099,1751,3157,49652.6,105642,649,0.4869,28,0.463157895,0.676495366,0.049496277,0.019123998,0.565700185,0.415175817,0.124168514,0.62369338,0.074754514
20,36047003400,32536.25093,23,87,57,,3058763124,784303.9216,1949.330882,894664.8627,434.2653339,502.1143612,3058667049,1340037.037,21320.96296,1520611.111,223.2626617,220.0423204,576700,1357,1513,3038,16691.31,69848,983,0.4584,45,0.004926108,0.473508087,0.037217816,0,0.217647059,0.782352941,0.010533246,0.761026991,0.152732061
21,36047003500,49184.07134,35,334,184,,3021033112,1937544.118,3294.602941,2351132.353,601.1178243,729.4791355,3021021608,4357866.667,54988.65,4895016.667,284.0954019,318.6963422,1416700,1297,880,1550,30177.94,61525,281,0.4984,37,0,0.66507177,0.102725367,0.062982005,0.250642674,0.686375321,0.427096774,0.375483871,0.065806452
22,36047003600,8523.26767,18,41,26,,3058926553,867896.5517,2169.267241,943715.5172,424.3032524,464.4396266,3059060929,2668617.647,45787.94118,2941970.588,210.2230948,229.9848266,342100,1381,1913,4457,92134.13,74449,964,0.4503,46,0,0.578223709,0.071788413,0.00498615,0.323545706,0.671468144,0.025577743,0.667713709,0.197890958
23,36047003700,70257.69804,106,282,171,,3001630063,1370166.667,4559.333333,1601666.667,340.171608,403.6978352,3001604571,6376752.475,53240.82178,6744904.772,685.2326507,873.1737442,750000,2581,587,1087,16797.13,102386,180,0.432,30,0,0.873124147,0.054263566,0.016453382,0.795246801,0.188299817,0.026678933,0.76448942,0.102115915
24,36047003800,8644.261785,4,27,18,,3059120788,947995.8848,2249.320988,1041724.28,440.6285901,484.4493806,3059596025,16521000,82321.2,17203398,241.0061044,265.2413754,733100,1519,749,1555,30899.43,85950,237,0.3946,38,0,0.48488121,0.055147059,0,0.275862069,0.724137931,0.007717042,0.774919614,0.160771704
25,36047003900,65748.65073,49,119,64,,3001846452,1602029.851,2987.910448,2016074.627,539.6447864,678.3307546,3001864057,1537944.444,14438.65079,1687912.698,1011.515089,1215.515365,867900,1521,1211,2455,40519.37,102981,608,0.4522,36,0,0.744240992,0.074299635,0.006034483,0.415517241,0.578448276,0.10509165,0.636252546,0.148268839
26,36047004100,67914.62971,19,56,37,,3001879582,2256966.667,3164.872727,2900390.909,729.0235858,932.0995209,3001813165,1953681.159,11239.23913,2526015.094,901.0363471,1105.154356,1680000,2060,1611,3540,56589.75,112128,580,0.388,33,0.058139535,0.783006536,0.045167118,0.018280298,0.360189573,0.621530129,0.131073446,0.694915254,0.085310734
27,36047004300,69714.36948,18,101,60,128,3001939079,2124142.857,3348.744048,2821519.345,652.9730197,863.006111,3002080911,2010277.32,16651.97633,2457598.675,947.6484762,1175.96633,1019500,1768,1709,3191,49703.82,112036,597,0.5337,32,0,0.781098901,0.051391863,0.003824092,0.477374124,0.518801785,0.054841742,0.722970856,0.052961454
28,36047004400,28447.21855,5,79,54,,3059623093,1210383.376,2059.945637,1337799.506,611.7219965,681.9900722,3059420042,2783750,31318.125,3074250,276.3719512,270.7779834,932600,1371,1040,2420,14544.69,95341,276,0.4266,32,0,0.616242038,0.059919028,0.020512821,0.18974359,0.78974359,0.003719008,0.876033058,0.095454545
29,36047004500,64524.8287,5,61,28,,3003016785,3308694.03,3449.294776,4037264.925,998.7700821,1232.578501,3002968601,1581784.615,8377.564103,1790759.026,680.4782377,823.4978054,1121700,2094,1757,3318,50391,138281,307,0.4635,32,0,0.896,0.036725664,0.007255139,0.425634825,0.567110036,0.013562387,0.885774563,0.050934298
30,36047004600,19553.86668,15,80,59,,3060065168,1414600.244,2405.339744,1546606.106,604.2485411,658.8598258,3059982045,7371200,30320.33333,7836266.667,227.2356288,243.8915575,945200,1101,576,1420,12264.43,118333,91,0.4157,34,0,0.613573407,0.065088757,0,0.241176471,0.758823529,0.005633803,0.896478873,0.076056338
31,36047004700,40447.5055,17,46,26,,3003102270,1500734.694,2923.591837,1999551.02,523.0573066,696.4273978,3003091897,2022016.667,29799.25,2138466.667,703.7104656,871.5429241,980400,1601,815,1889,14809.12,101150,297,0.4675,38,0.217391304,0.700941915,0.121827411,0.024142313,0.440914867,0.534942821,0.122286924,0.680254103,0.061937533
32,36047004900,36882.21505,4,33,21,,3003127519,2060460.432,2714.94964,2808906.475,824.6324251,1125.6473,3003105072,3182743.119,15608.10092,4194885.927,602.3669334,746.2257327,949400,1922,1096,2520,66921.32,116950,133,0.4467,35,0,0.890818859,0.008602151,0.039755352,0.415902141,0.544342508,0.108730159,0.726190476,0.067857143
33,36047005000,15148.39803,5,39,24,,3060449580,1093943.02,1989.678063,1212960.114,576.9805342,640.6964552,3060531457,3581500,61905.71429,4091785.714,243.1868457,227.3972387,930900,1577,1176,2510,26687.86,90608,161,0.4752,44,0,0.706237425,0.070086705,0.008302583,0.27398524,0.717712177,0.009163347,0.892430279,0.066533865
34,36047005100,24558.06362,5,66,39,,3003460667,1008419.355,2736.535484,1329735.484,386.371843,507.105465,3003450185,489901.2739,7195.605096,563044.586,702.5306097,893.9099932,671700,2101,1085,2143,30579.23,85563,317,0.4881,41,0,0.716678297,0.031837916,0,0.319514661,0.680485339,0.042930471,0.79514699,0.041530565
35,36047005201,9065.863535,8,13,8,,3060811004,943734.375,1810.273438,1033585.938,545.278355,597.2792374,3060807044,9859500,94157.3,10584100,163.7962963,170.2314815,844600,575,1126,1722,31088.96,29531,669,0.6449,50,0,0.694751381,0.070301291,0,0.305263158,0.694736842,0.011614402,0.81010453,0.154471545
36,36047005202,8898.815573,14,27,20,,3061022131,938609.5238,2099.790476,1094266.667,464.2215961,543.8897634,3061007395,4130600,69399.2,4689050,183.0056521,201.36981,298900,1686,1516,2436,42634.41,68958,457,0.4499,48,0,0.655878468,0.066666667,0.003441156,0.309704061,0.686854783,0.034893268,0.871100164,0.055829228
