,GEOID,pickups_intract,NYPDfelony,units,perSQFTvalueC1,newperSQFTvalueC1,Pop_Den,Median_Household_Income,Gini_Index,Ave_Commute_Min,Unemployed_rate_16,Moved_after_2010
1,36047000100,102138.807,26,106,1190.616338,1459.290687,49889.94,70938,0.5568,33,0.041450777,0.267807586
2,36047000200,21497.86679,84,,243.7865093,313.9397967,16619.2,34740,0.4267,38,0.079075426,0.25415677
3,36047000301,96582.50072,46,,,,48017.63,101544,0.583,31,0.030143541,0.319526628
4,36047000501,39175.79425,17,62,,,147218.9,110700,0.5084,30,0.070351759,0.369855395
5,36047000502,45341.36746,38,,1317.588974,1528.943303,69557.17,91964,0.541,30,0.078695897,0.304761904
6,36047000700,81033.00154,33,,1315.762582,1456.459427,59904.48,130966,0.5197,33,0.044046286,0.469689251
7,36047000900,75493.36314,122,,1036.215249,1240.295097,66798.02,121083,0.484,30,0.050847458,0.516059957
8,36047001100,93340.56203,538,,,,14862.73,107946,0.3258,29,0.040141677,0.966728281
9,36047001300,161313.1414,59,369,331.4655172,386.0632184,22726.74,111500,0.4131,32,0.032882012,0.205479452
10,36047001500,169887.5566,411,1045,527.5391922,610.8978077,50553.97,90616,0.4995,34,0.110171731,0.67301104
12,36047002000,11929.60119,34,,268.7628546,308.3511655,22990.74,61023,0.3888,46,0.040927694,0.208232446
13,36047002100,221130.2078,137,42,343.0189383,466.9892913,22492.85,208036,0.3931,33,0.05518917,0.591884058
14,36047002200,26638.81665,105,,272.9200144,305.2079006,37781.8,36563,0.5328,39,0.10459588,0.224366707
15,36047002300,82078.31336,108,,,,61788.02,19066,0.4825,50,0.265738499,0.187940988
16,36047002901,40700.37963,105,,,,88220.4,17544,0.4379,42,0.23328877,0.212439419
17,36047003000,7637.89513,20,,415.2687356,474.8336727,42588.52,68958,0.4713,40,0.058949625,0.296402878
18,36047003100,106615.6476,65,205,,,25483.36,69609,0.3538,27,0.10761347,0.320902846
19,36047003300,60887.28887,112,586,728.5425538,832.7378022,49652.6,105642,0.4869,28,0.049496277,0.584824183
20,36047003400,32536.25093,57,,434.2653339,502.1143612,16691.31,69848,0.4584,45,0.037217816,0.217647059
21,36047003500,49184.07134,184,,601.1178243,729.4791355,30177.94,61525,0.4984,37,0.102725367,0.313624679
22,36047003600,8523.26767,26,,424.3032524,464.4396266,92134.13,74449,0.4503,46,0.071788413,0.328531856
23,36047003700,70257.69804,171,,340.171608,403.6978352,16797.13,102386,0.432,30,0.054263566,0.811700183
24,36047003800,8644.261785,18,,440.6285901,484.4493806,30899.43,85950,0.3946,38,0.055147059,0.275862069
25,36047003900,65748.65073,64,,539.6447864,678.3307546,40519.37,102981,0.4522,36,0.074299635,0.421551724
26,36047004100,67914.62971,37,,729.0235858,932.0995209,56589.75,112128,0.388,33,0.045167118,0.378469871
27,36047004300,69714.36948,60,128,652.9730197,863.006111,49703.82,112036,0.5337,32,0.051391863,0.481198216
28,36047004400,28447.21855,54,,611.7219965,681.9900722,14544.69,95341,0.4266,32,0.059919028,0.210256411
29,36047004500,64524.8287,28,,998.7700821,1232.578501,50391,138281,0.4635,32,0.036725664,0.432889964
30,36047004600,19553.86668,59,,604.2485411,658.8598258,12264.43,118333,0.4157,34,0.065088757,0.241176471
31,36047004700,40447.5055,26,,523.0573066,696.4273978,14809.12,101150,0.4675,38,0.121827411,0.46505718
32,36047004900,36882.21505,21,,824.6324251,1125.6473,66921.32,116950,0.4467,35,0.008602151,0.455657493
