,GEOID,FHVdiff,NYPDviolationDiff,NYPDmisdemeanorDiff,NYPDfelonyDiff,units,C1Diff,C2Diff,Pop_Den_16DIFF,Median_Household_Income_16DIFF,Gini_Index_16DIFF,Ave_Commute_Min_16DIFF,Unemployed_rate_16DIFF,Moved_in_4years_16DIFF,licenseDiff
0,36047000100,53734.26569,10,-24,-17,106,268.674349,221.228009,-927.3227,16254,-0.0224,-1.11919081,0.002828048,0,-2
1,36047000200,12981.97157,2,-45,-2,,70.1532874,61.517968,-2046.26377,13653,-0.0072,0.85135135,-0.008857508,0.00015906,0
2,36047000301,50795.12162,-3,16,15,,0,0,3144.94739,10817,0.0052,1.71975181,-0.006191445,0.003594536,0
3,36047000501,20603.51739,2,-19,-10,62,0,0,-1917.9848,13505,-0.0156,-0.96495024,-0.011073408,-0.00378239,0
4,36047000502,23863.10789,4,10,0,,211.354329,195.8423703,481.5498,8841,-0.0362,-0.01998668,-0.02116165,0.009076559,-4
5,36047000700,42614.294,2,-2,-15,,140.696845,259.1694602,1204.33908,2506,-0.0032,-0.35010941,-0.012372078,0.001269629,-1
6,36047000900,39709.17052,9,44,28,,204.079848,224.0128203,1332.10639,3636,0.0094,0.21814007,-0.035701407,0.001147136,9
7,36047001100,54887.17286,-8,87,29,,0,175.3147823,2413.0785,6898,0.0406,0.07894737,0.000799981,0.017225748,0
8,36047001300,94858.51811,-3,-14,-1,369,54.5977012,167.3924321,26.613,-5562,-0.0069,-1.75950783,-0.00507665,0.000397591,0
9,36047001500,99904.64202,9,55,18,1045,83.3586155,109.7798309,3629.16978,4330,0.0006,-1.53595539,-0.014408812,0.000561813,2
10,36047001800,96220.68133,2,-14,2,,0,63.5895917,-2.170215,0,0,0,0,0,2
11,36047002000,7203.958657,3,-15,-16,,39.5883109,50.4827828,-1731.02402,612,-0.0005,-2.54464286,0.029585127,-0.01035503,3
12,36047002100,117890.393,15,19,2,42,123.970353,149.4713638,1743.92046,3035,0.0274,0.07876849,0.006900186,0.01518174,-7
13,36047002200,16096.58667,8,-19,-2,,32.2878862,60.6206756,570.35141,5520,-0.0271,3.49069767,0.009833911,0.000514761,-4
14,36047002300,43759.76647,-16,36,21,,0,163.7696287,668.82124,-941,0.0313,3.55577689,0.041998557,0.000893753,1
15,36047002901,23777.25691,17,19,-6,,0,54.791716,13537.781,3682,0.0278,-0.90791476,-0.034239453,-0.000527334,-1
16,36047003000,5238.866067,-5,8,-2,,59.5649371,6.7672797,-1133.53612,6250,0.0052,2.47093023,0.014195621,0.001560508,-1
17,36047003100,62282.39493,0,22,23,205,0,43.579348,377.26642,6811,0.0034,3.39695946,-0.008093909,-0.016631281,0
18,36047003300,35568.82468,-11,-15,-25,586,104.1952484,45.0054054,220.19214,9867,0.0039,-0.36854917,-0.015013518,0,7
19,36047003400,22378.18196,10,11,9,,67.8490273,-3.2203413,-1148.28329,-806,0.0076,-0.02468265,0.007368171,0,1
20,36047003500,28732.07543,-8,49,-2,,128.3613112,34.6009403,759.32037,-75,0.0548,-2.41881443,0.007568751,0.001274697,-1
21,36047003600,5862.479164,-18,-4,4,,40.1363742,19.7617318,-2377.26155,-491,0.0094,-0.43165115,-0.02172311,2.81E-05,1
22,36047003700,39527.03174,0,61,26,,63.5262272,187.9410935,1962.50083,26531,-0.0211,0.98013245,-0.01575847,0,-3
23,36047003800,5945.70141,0,9,7,,43.8207905,24.235271,-1907.6199,-2894,0.0391,1.86801242,-0.001311258,0,0
24,36047003900,36982.72204,7,11,-1,,138.6859682,204.000276,49.51068,1802,0.0147,0.18201595,-0.00491188,0.004103406,-5
25,36047004100,38209.46784,-4,-1,2,,203.0759351,204.1180089,1806.39236,22594,0.0674,-1.23080834,-0.016021822,0.000772861,2
26,36047004300,39216.90241,4,19,9,128,210.0330913,228.3178538,1074.76129,13902,-0.0272,-1.42941466,0.001546861,0.001417371,-2
