,GEOID,pickups_intract,NYPDviolation,NYPDmisdemeanor,NYPDfelony,units,CUR_FV_T_perSQFT_x,NEW_FV_T_perSQFT_x,HousepriceDiffC1,CUR_FV_T_perSQFT_y,NEW_FV_T_perSQFT_y,HousepriceDiffC2,Pop_Den_16,Median_Household_Income_16,Gini_Index_16,Ave_Commute_Min_16,Unemployed_rate_16,Moved_in_4years_16
1,36047000100,102138.807,19,37,26,106,1190.616338,1459.290687,268.674349,1363.877877,1585.105886,221.228009,48962.6173,87192,0.5344,31.88080919,0.044278825,0
2,36047000200,21497.86679,20,125,84,,243.7865093,313.9397967,70.1532874,305.9639082,367.4818762,61.517968,14572.93623,48393,0.4195,38.85135135,0.070217918,0.006105006
3,36047000301,96582.50072,10,56,46,,,,0,,,0,51162.57739,112361,0.5882,32.71975181,0.023952096,0.003594536
4,36047000501,39175.79425,8,25,17,62,,,0,,,0,145300.9152,124205,0.4928,29.03504976,0.059278351,0.004904051
5,36047000502,45341.36746,19,63,38,,1317.588974,1528.943303,211.354329,989.0288767,1184.871247,195.8423703,70038.7198,100805,0.5048,29.98001332,0.057534247,0.009076559
6,36047000700,81033.00154,11,74,33,,1315.762582,1456.459427,140.696845,872.8361318,1132.005592,259.1694602,61108.81908,133472,0.5165,32.64989059,0.031674208,0.011662531
7,36047000900,75493.36314,60,193,122,,1036.215249,1240.295097,204.079848,885.0457767,1109.058597,224.0128203,68130.12639,124719,0.4934,30.21814007,0.015146051,0.003374307
8,36047001100,93340.56203,126,880,538,,,,0,587.7420715,763.0568538,175.3147823,17275.8085,114844,0.3664,29.07894737,0.040941658,0.017225748
9,36047001300,161313.1414,32,92,59,369,331.4655172,386.0632184,54.5977012,607.9474442,775.3398763,167.3924321,22753.353,105938,0.4062,30.24049217,0.027805362,0.002763522
10,36047001500,169887.5566,164,658,411,1045,527.5391922,610.8978077,83.3586155,525.2692902,635.0491211,109.7798309,54183.13978,94946,0.5001,32.46404461,0.095762919,0.0039482
11,36047001800,159403.4472,30,197,108,,109.6296296,109.6296296,0,374.0355105,437.6251022,63.5895917,2249.301785,0,0,,,0
12,36047002000,11929.60119,11,56,34,,268.7628546,308.3511655,39.5883109,352.2996025,402.7823853,50.4827828,21259.71598,61635,0.3883,43.45535714,0.070512821,0
