,GEOID,FHVDIFF,NYPDviolationDIFF,NYPDmisdemeanorDIFF,NYPDfelonyDIFF,units,C1DIFF,C2DIFF,Pop_Den_16DIFF,Median_Household_Income_16DIFF,Gini_Index_16DIFF,Ave_Commute_Min_16DIFF,Unemployed_rate_16DIFF,Moved_in_4years_16DIFF,licenseDiff
0,36047000100,1.110107941,1.111111111,-0.393442623,-0.395348837,106,0.225659888,0.162205145,-0.018587369,0.229129663,-0.040229885,-0.033914873,0.068226658,,-0.666666667
1,36047000200,1.524440032,0.111111111,-0.264705882,-0.023255814,,0.287765257,0.201062826,-0.12312649,0.393005181,-0.016873682,0.022403983,-0.112013409,0.026751,0
2,36047000301,1.109369495,-0.230769231,0.4,0.483870968,,,,0.065495681,0.10652525,0.008919383,0.055475865,-0.205398729,,
3,36047000501,1.109369494,0.333333333,-0.431818182,-0.37037037,62,,,-0.013028115,0.121996387,-0.0306845,-0.032165008,-0.157400585,-0.435436101,
4,36047000502,1.111035455,0.266666667,0.188679245,0,,0.16040991,0.198014815,0.006923079,0.096135444,-0.066913124,-0.000666223,-0.268904108,,-0.571428571
5,36047000700,1.109206861,0.222222222,-0.026315789,-0.3125,,0.106931788,0.296927969,0.020104324,0.019134737,-0.006157398,-0.010609376,-0.280888109,0.122163088,-0.2
6,36047000900,1.109684685,0.176470588,0.295302013,0.29787234,,0.196947351,0.253108739,0.019942304,0.030028988,0.019421488,0.007271336,-0.702127666,0.515064178,0.818181818
7,36047001100,1.427368928,-0.059701493,0.109709962,0.05697446,,,0.298285236,0.162357689,0.063902322,0.124616329,0.002722323,0.019928938,,0
8,36047001300,1.427417889,-0.085714286,-0.132075472,-0.016666667,369,0.164716082,0.275340301,0.001170999,-0.049883408,-0.016702977,-0.05498462,-0.154389883,0.168048434,0
9,36047001500,1.427557606,0.058064516,0.091210614,0.045801527,1045,0.158014071,0.208997238,0.071788027,0.047784056,0.001201201,-0.045175159,-0.13078502,0.165903365,0.333333333
10,36047001800,1.522894416,0.071428571,-0.066350711,0.018867925,,0,0.170009504,-0.000963909,,,,,,0.4
11,36047002000,1.524440033,0.375,-0.211267606,-0.32,,0.147298297,0.143295032,-0.075292227,0.010029005,-0.001286008,-0.055318323,0.722863277,-1,1
12,36047002100,1.141908219,0.416666667,0.09047619,0.014814815,42,0.361409646,0.265863497,0.077532214,0.014588821,0.069702366,0.002386924,0.125027899,0.981119936,-0.5
13,36047002200,1.526867342,0.2,-0.10326087,-0.018691589,,0.118305307,0.175603536,0.01509593,0.150972294,-0.050863363,0.089505068,0.094018149,0.08623134,-0.666666667
14,36047002300,1.141999633,-0.307692308,0.257142857,0.24137931,,,0.214219679,0.010824448,-0.049354873,0.064870466,0.071115538,0.158044684,0.151580519,1
15,36047002901,1.405015924,0.346938776,0.110465116,-0.054054054,,,0.322420696,0.153454088,0.209872321,0.063484814,-0.021617018,-0.146768544,-0.133038832,-0.333333333
16,36047003000,2.18374431,-0.384615385,0.235294118,-0.090909091,,0.143437085,0.028428625,-0.026616002,0.090634879,0.011033312,0.061773256,0.240809352,0.114603705,-0.5
17,36047003100,1.404868607,0,0.289473684,0.547619048,205,,0.215307499,0.014804422,0.097846543,0.009609949,0.125813313,-0.075212787,-1,0
18,36047003300,1.40485712,-0.20754717,-0.071090047,-0.182481752,586,0.143018754,0.185865765,0.004434655,0.093400352,0.008009858,-0.01316247,-0.303326208,,3.5
19,36047003400,2.20299567,0.769230769,0.144736842,0.1875,,0.156238645,-0.014424003,-0.068795277,-0.011539343,0.016579407,-0.000548503,0.197974298,,0.25
20,36047003500,1.40485435,-0.186046512,0.171929825,-0.010752688,,0.213537689,0.121793384,0.025161438,-0.001219017,0.109951846,-0.065373363,0.073679474,,-0.2
21,36047003600,2.203286413,-0.5,-0.088888889,0.181818182,,0.094593605,0.094003619,-0.025802182,-0.006595119,0.020874972,-0.009383721,-0.302599112,0.013551429,0.5
