,GEOID,pickups_intract,NYPDviolation,NYPDmisdemeanor,NYPDfelony,units,CUR_FV_T_perSQFT_x,NEW_FV_T_perSQFT_x,CUR_FV_T_perSQFT_y,NEW_FV_T_perSQFT_y,Pop_Den_15,Median_Household_Income_15,Gini_Index_15,Ave_Commute_Min_15,Unemployed_rate_15,Moved_in_4years_15,Pop_Den_16,Median_Household_Income_16,Gini_Index_16,Ave_Commute_Min_16,Unemployed_rate_16,Moved_in_4years_16,Pop_Den_16DIFF,Median_Household_Income_16DIFF,Gini_Index_16DIFF,Ave_Commute_Min_16DIFF,Unemployed_rate_16DIFF,Moved_in_4years_16DIFF
1,36047000100,102138.807,19,37,26,106,1190.616338,1459.290687,1363.877877,1585.105886,49889.94,70938,0.5568,33,0.041450777,0,48962.6173,87192,0.5344,31.88080919,0.044278825,0,-927.3227,16254,-0.0224,-1.11919081,0.002828048,0
2,36047000200,21497.86679,20,125,84,,243.7865093,313.9397967,305.9639082,367.4818762,16619.2,34740,0.4267,38,0.079075426,0.005945946,14572.93623,48393,0.4195,38.85135135,0.070217918,0.006105006,-2046.26377,13653,-0.0072,0.85135135,-0.008857508,0.00015906
3,36047000301,96582.50072,10,56,46,,,,,,48017.63,101544,0.583,31,0.030143541,0,51162.57739,112361,0.5882,32.71975181,0.023952096,0.003594536,3144.94739,10817,0.0052,1.71975181,-0.006191445,0.003594536
4,36047000501,39175.79425,8,25,17,62,,,,,147218.9,110700,0.5084,30,0.070351759,0.008686441,145300.9152,124205,0.4928,29.03504976,0.059278351,0.004904051,-1917.9848,13505,-0.0156,-0.96495024,-0.011073408,-0.00378239
5,36047000502,45341.36746,19,63,38,,1317.588974,1528.943303,989.0288767,1184.871247,69557.17,91964,0.541,30,0.078695897,0,70038.7198,100805,0.5048,29.98001332,0.057534247,0.009076559,481.5498,8841,-0.0362,-0.01998668,-0.02116165,0.009076559
6,36047000700,81033.00154,11,74,33,,1315.762582,1456.459427,872.8361318,1132.005592,59904.48,130966,0.5197,33,0.044046286,0.010392902,61108.81908,133472,0.5165,32.64989059,0.031674208,0.011662531,1204.33908,2506,-0.0032,-0.35010941,-0.012372078,0.001269629
7,36047000900,75493.36314,60,193,122,,1036.215249,1240.295097,885.0457767,1109.058597,66798.02,121083,0.484,30,0.050847458,0.002227171,68130.12639,124719,0.4934,30.21814007,0.015146051,0.003374307,1332.10639,3636,0.0094,0.21814007,-0.035701407,0.001147136
8,36047001100,93340.56203,126,880,538,,,,587.7420715,763.0568538,14862.73,107946,0.3258,29,0.040141677,0,17275.8085,114844,0.3664,29.07894737,0.040941658,0.017225748,2413.0785,6898,0.0406,0.07894737,0.000799981,0.017225748
9,36047001300,161313.1414,32,92,59,369,331.4655172,386.0632184,607.9474442,775.3398763,22726.74,111500,0.4131,32,0.032882012,0.002365931,22753.353,105938,0.4062,30.24049217,0.027805362,0.002763522,26.613,-5562,-0.0069,-1.75950783,-0.00507665,0.000397591
10,36047001500,169887.5566,164,658,411,1045,527.5391922,610.8978077,525.2692902,635.0491211,50553.97,90616,0.4995,34,0.110171731,0.003386387,54183.13978,94946,0.5001,32.46404461,0.095762919,0.0039482,3629.16978,4330,0.0006,-1.53595539,-0.014408812,0.000561813
